,planname
1077,Hakenfelde Nord
1078,An der Kappe
1079,Im Spektefeld
1080,Im Spektefeld
1081,Griesingerstraße
1082,Gartenfeld
1083,Eiswerder
1084,Mertensstraße
1085,Eiswerder
1086,Haveleck
1087,Maselake
1088,An der Tränke
1089,Haveleck
1090,Haveleck
1091,Haveleck
1092,Eiswerder
1093,Mertensstraße
1094,Hakenfelde Nord
1095,Hakenfelde Nord
1096,Hakenfelde Nord
1097,Hakenfelde Nord
1098,Im Spektefeld
1099,Amorbacher Weg
1100,Zitadellenweg
1101,Im Spektefeld
1102,Ackerstraße
1103,Westerwaldstraße
1104,Eiswerder
1105,Maselake
1106,Hakenfelde Nord
1107,Griesingerstraße
1108,Im Spektefeld
1109,Hakenfelde Nord
1110,Eckschanze
1111,Amorbacher Weg
1112,Amorbacher Weg
1113,Mertensstraße
1114,Ackerstraße
1115,Hakenfelde Nord
1116,Amorbacher Weg
1117,Hakenfelde Nord
1118,Am Forstacker
1119,Hakenfelde Nord
1120,Germersheimer Platz
1121,Eiswerder
1122,Carl-Schurz-Straße
1123,Ackerstraße
1124,Im Spektefeld
1125,Germersheimer Platz
1126,Amorbacher Weg
1127,An der Kappe
1128,Hakenfelde Nord
1129,Haveleck
1130,Kurstraße
1131,Hakenfelde Nord
1132,Amorbacher Weg
1133,Haveleck
1134,Zitadellenweg
1135,Mertensstraße
1136,Hakenfelde Nord
1137,Hakenfelde Nord
1138,Amorbacher Weg
1139,Maselake
1140,Zitadellenweg
1141,Eiswerder
1142,Maselake
1143,Maselake
1144,Zitadellenweg
1145,Hakenfelde Nord
1146,Hakenfelde Nord
1147,Hakenfelde Nord
1148,Ackerstraße
1149,Westerwaldstraße
1150,Ackerstraße
1151,An der Tränke
1152,Eckschanze
1153,Griesingerstraße
1154,Eiswerder
1155,Eiswerder
1156,Alt-Heiligensee
1157,Tegel Süd
1158,Alt-Tegel
1159,Alt-Tegel
1160,Wittenau Nord
1161,Wittenau Mitte
1162,Wittenau Nord
1163,Wittenau Nord
1164,Wittenau Mitte
1165,Wittenau Mitte
1166,Wittenau Nord
1167,Wittenau Nord
1168,Treuenbrietzener Straße
1169,Wittenau Mitte
1170,Lübarser Straße
1171,Märkisches Zentrum
1172,Märkisches Zentrum
1173,Märkisches Zentrum
1174,Ziekowstraße/Freie Scholle
1175,Waidmannslust
1176,Waidmannslust
1177,Wittenau Nord
1178,Wittenau Nord
1179,Wittenau Nord
1180,Dannenwalder Weg
